,Precision,Recall,F1-Score,mAP@0.5,mAP@0.75,FPS
YOLOv8,0.82,0.79,0.805,0.837,0.653,7.963562748509715
Mask R-CNN,0.86,0.81,0.835,0.865,0.701,12.0
